Language,Brill,TnT,SVMTool,Stanford Tagger,HMM,BiLSTM (Plank),BiLSTM (Yasunaga),Flair,Meta-BiLSTM,BERT-BPEmb,Avg.
Arabic,188.00,132.00,944.00,2450.00,131.00,55690.00,39684.00,506627.00,262344.00,1337771.00,220596.10
Chinese,156.00,111.00,864.00,1202.00,111.00,1142.00,38010.00,293358.00,262485.00,1338042.00,193548.10
English,114.00,91.00,658.00,955.00,79.00,54877.00,35062.00,550898.00,256978.00,1337643.00,223735.50
Spanish,324.00,237.00,1113.00,3445.00,239.00,57241.00,48526.00,796211.00,266419.00,1339962.00,251371.70
Amharic,15.00,10.00,95.00,0.00,8.00,7421.00,6471.00,11158.00,211464.00,650740.00,88738.20
Danish,143.00,109.00,517.00,0.00,104.00,55845.00,30384.00,277477.00,256965.00,1288693.00,191023.70
Hindi,166.00,118.00,1096.00,0.00,121.00,52476.00,28898.00,156580.00,258036.00,1337017.00,183450.80
Russian,217.00,170.00,377.00,0.00,166.00,56662.00,18609.00,808735.00,258064.00,1339339.00,248233.90
Turkish,118.00,92.00,310.00,0.00,87.00,55713.00,30407.00,356530.00,256344.00,1337293.00,203689.40
Vietnamese,38.00,29.00,221.00,0.00,26.00,55069.00,30221.00,33230.00,254913.00,1336960.00,171070.70
Avg. (4 lang.),195.50,142.75,894.75,2013.00,140.00,42237.50,40320.50,536773.50,262056.50,1338354.50
Average (all),147.90,109.90,619.50,805.20,107.20,45213.60,30627.20,379080.40,254401.20,1264346.00
Std. dev. (all),87.94,64.57,370.61,1235.76,66.04,21660.47,11584.41,284225.33,15493.17,216157.54
