Language,Brill,TnT,SVMTool,Stanford Tagger,HMM,BiLSTM (Plank),BiLSTM (Yasunaga),Flair,Meta-BiLSTM,BERT-BPEmb,Avg.
Arabic,105116.00,483140.00,83844.00,272752.00,105324.00,1194648.00,6033044.00,8358084.00,27494088.00,74735424.00,11886546.40
Chinese,100540.00,165520.00,73844.00,252808.00,99520.00,1201960.00,6003264.00,7408560.00,27279224.00,65801916.00,10838715.60
English,103580.00,125956.00,66636.00,265380.00,99432.00,1182756.00,6140032.00,4924480.00,27300884.00,66906076.00,10711521.20
Spanish,113576.00,227348.00,93604.00,375076.00,112428.00,1200092.00,2217816.00,6073336.00,27477940.00,70683592.00,10857480.80
Amharic,91256.00,95884.00,40924.00,0.00,90952.00,854632.00,6638704.00,6638704.00,26964636.00,6677836.00,4809352.80
Danish,98356.00,125812.00,61944.00,0.00,97348.00,1188200.00,6030340.00,3854292.00,27260112.00,67551744.00,10626814.80
Hindi,106312.00,142108.00,80576.00,0.00,105728.00,1081184.00,6203436.00,4439100.00,27391592.00,67828028.00,10737806.40
Russian,103200.00,216652.00,60784.00,0.00,102268.00,1199432.00,6087996.00,4973100.00,27292096.00,65220032.00,10525556.00
Turkish,102568.00,105892.00,53092.00,0.00,102740.00,1188516.00,1885796.00,3940844.00,27332532.00,64933892.00,9964587.20
Vietnamese,95332.00,99808.00,46572.00,0.00,94944.00,1182100.00,5916124.00,6752004.00,27139248.00,64044012.00,10537014.40
Avg. (4 lang.),105703.00,250491.00,79482.00,291504.00,104176.00,1194864.00,5098539.00,6691115.00,27388034.00,69531752.00
Average (all),101983.60,178812.00,66182.00,116601.60,101068.40,1147352.00,5315655.20,5736250.40,27293235.20,61438255.20
Std. dev. (all),6163.23,116411.99,16901.60,154003.88,6072.36,108832.12,1733142.68,1539107.09,155891.26,19497715.78
