Language,Brill,TnT,SVMTool,Stanford Tagger,HMM,BiLSTM (Plank),BiLSTM (Yasunaga),Flair,Meta-BiLSTM,BERT-BPEmb,Avg.
Arabic,2201.00,730.00,4913.00,7317.00,503.00,144825.00,44265.00,808370.00,290520.00,1467638.00,277128.20
Chinese,1534.00,522.00,3944.00,3384.00,306.00,156515.00,41907.00,457377.00,291659.00,1467288.00,242443.60
English,1200.00,394.00,3182.00,2364.00,228.00,140614.00,38839.00,1291167.00,285077.00,1466860.00,322992.50
Spanish,3844.00,1181.00,5134.00,8609.00,736.00,149722.00,53293.00,1273956.00,294986.00,1466933.00,325839.40
Amharic,108.00,47.00,513.00,0.00,26.00,20912.00,7058.00,12573.00,233816.00,709171.00,98422.40
Danish,1585.00,517.00,2518.00,0.00,312.00,144018.00,34176.00,433747.00,285192.00,1404785.00,230685.00
Hindi,1769.00,709.00,5623.00,0.00,518.00,136378.00,33340.00,240255.00,286138.00,1468387.00,217311.70
Russian,2548.00,975.00,2050.00,0.00,674.00,148853.00,47991.00,1300426.00,286933.00,1468208.00,325865.80
Turkish,1275.00,455.00,1438.00,0.00,281.00,143682.00,34260.00,562631.00,284061.00,1467046.00,249512.90
Vietnamese,317.00,131.00,1058.00,0.00,74.00,140423.00,33704.00,39433.00,282234.00,1466665.00,196403.90
Avg. (4 lang.),2194.75,706.75,4293.25,5418.50,443.25,147919.00,44576.00,957717.50,290560.50,1467179.75
Average (all),1638.10,566.10,3037.30,2167.40,365.80,132594.20,36883.30,641993.50,282061.60,1385298.10
Std. dev. (all),1077.64,349.23,1811.54,3295.07,237.41,39645.36,12483.92,504029.18,17389.65,238380.53
