Language,Brill,TnT,SVMTool,Stanford Tagger,HMM,BiLSTM (Plank),BiLSTM (Yasunaga),Flair,Meta-BiLSTM,BERT-BPEmb,Avg.
Arabic,23.68,17.50,38.38,38.53,23.24,44.26,46.00,46.76,37.50,44.56,36.04
Chinese,6.40,2.40,21.60,26.80,5.60,32.60,29.60,24.40,26.00,39.60,21.50
English,17.30,12.13,42.70,45.17,16.63,52.36,54.00,59.89,53.15,48.31,40.16
Spanish,28.76,18.07,61.01,64.73,25.62,68.74,64.41,74.32,64.44,72.57,54.27
Amharic,13.04,11.18,27.95,0.00,12.42,31.06,36.00,13.66,29.81,23.60,19.87
Danish,17.52,8.50,46.19,0.00,17.52,61.06,57.40,68.32,55.22,65.84,39.76
Hindi,33.43,24.23,56.65,0.00,28.98,63.12,59.13,67.16,54.22,62.65,44.96
Russian,10.32,2.33,47.25,0.00,9.32,69.05,59.33,69.22,63.56,64.89,39.53
Turkish,19.02,10.17,51.17,0.00,18.62,62.46,49.33,69.89,57.68,65.11,40.34
Vietnamese,7.88,6.38,20.00,0.00,7.88,25.62,24.12,20.75,23.75,18.00,15.44
Avg. (4 lang.),19.04,12.53,40.92,43.81,17.77,49.49,48.50,51.34,45.27,51.26
Average (all),17.73,11.29,41.29,17.52,16.58,51.03,47.93,51.44,46.53,50.51
Std. dev. (all),8.87,7.03,14.19,24.41,7.83,16.49,13.76,23.35,15.69,18.94
